strain	species	date	region	country	location	host	group	collector	authors	title	journal	paper url
16.0527	Pst	2016-04-21	north america	USA	Warsaw_VA	Unknown	Other	Xianming Cheng	Radhakrishnan et al., 2019	Mobile and real-time plant disease (MARPLE) diagnostics for strain-level identification of complex fungal pathogens	BMC Biology	https://www.ncbi.nlm.nih.gov/pubmed/31405370
16.0551	Pst	2016-04-04	north america	USA	Woodland_CA	Breeding Line	Other	Xianming Cheng	Radhakrishnan et al., 2019	Mobile and real-time plant disease (MARPLE) diagnostics for strain-level identification of complex fungal pathogens	BMC Biology	https://www.ncbi.nlm.nih.gov/pubmed/31405370
16.0554	Pst	2016-05-27	north america	USA	Weedsport_NY	Seedway	Other	Xianming Cheng	Radhakrishnan et al., 2019	Mobile and real-time plant disease (MARPLE) diagnostics for strain-level identification of complex fungal pathogens	BMC Biology	https://www.ncbi.nlm.nih.gov/pubmed/31405370
16.0555	Pst	2016-05-23	north america	USA	Lansing/Mason_MI	K505hw14	Other	Xianming Cheng	Radhakrishnan et al., 2019	Mobile and real-time plant disease (MARPLE) diagnostics for strain-level identification of complex fungal pathogens	BMC Biology	https://www.ncbi.nlm.nih.gov/pubmed/31405370
16.0771	Pst	2016-10-18	africa	South Africa	Napier	Unknown	Triticale	Driecus Lesch	Radhakrishnan et al., 2019	Mobile and real-time plant disease (MARPLE) diagnostics for strain-level identification of complex fungal pathogens	BMC Biology	https://www.ncbi.nlm.nih.gov/pubmed/31405370
16.0772	Pst	2016-10-18	africa	South Africa	Napier	Unknown	Triticale	Driecus Lesch	Radhakrishnan et al., 2019	Mobile and real-time plant disease (MARPLE) diagnostics for strain-level identification of complex fungal pathogens	BMC Biology	https://www.ncbi.nlm.nih.gov/pubmed/31405370
16.0774	Pst	2016-12-05	africa	Ethiopia	Sinana	Hoggana	Other	Ayele and Bekele	Radhakrishnan et al., 2019	Mobile and real-time plant disease (MARPLE) diagnostics for strain-level identification of complex fungal pathogens	BMC Biology	https://www.ncbi.nlm.nih.gov/pubmed/31405370
16.0775	Pst	2016-12-05	africa	Ethiopia	Sinana	Digalu	Other	Ayele and Bekele	Radhakrishnan et al., 2019	Mobile and real-time plant disease (MARPLE) diagnostics for strain-level identification of complex fungal pathogens	BMC Biology	https://www.ncbi.nlm.nih.gov/pubmed/31405370
16.0776	Pst	2016-12-05	africa	Ethiopia	Sinana	Millenium	Other	Ayele and Bekele	Radhakrishnan et al., 2019	Mobile and real-time plant disease (MARPLE) diagnostics for strain-level identification of complex fungal pathogens	BMC Biology	https://www.ncbi.nlm.nih.gov/pubmed/31405370
16.0779	Pst	2016-12-05	africa	Ethiopia	Sinana	SPPSN#15	Other	Ayele and Bekele	Radhakrishnan et al., 2019	Mobile and real-time plant disease (MARPLE) diagnostics for strain-level identification of complex fungal pathogens	BMC Biology	https://www.ncbi.nlm.nih.gov/pubmed/31405370
